"","SampleID","sample","ave.mf","AveDepth"
"1","Run_4_01_Animal_16314",1,0.00333502567562286,"211493.210312076"
"2","Run_4_02_Animal_16314",2,0.003042899821357,"170417.210312076"
"3","Run_4_03_Animal_16314",3,0.00200704213473947,"89346.3238866397"
"4","Run_4_04_Animal_16314",4,0.00207914518706966,"70584.9745127436"
"5","Run_4_05_Animal_16314",5,0.00232026119195089,"37629.6793997271"
"6","Run_4_06_Animal_20615",6,0.00348738538489016,"155233.758434548"
"7","Run_4_07_Animal_20615",7,0.00280676624985676,"109476.770068027"
"8","Run_4_08_Animal_20615",8,0.00239978203950956,"300885.808683853"
"9","Run_4_09_Animal_20615",9,0.00235838598829129,"76159.4237516869"
"10","Run_4_10_Animal_20615",10,0.00298260041746028,"87850.8232118758"
"11","Run_4_11_Animal_3516",11,0.00185693640223389,"52170.6504065041"
"12","Run_4_12_Animal_3516",12,0.00308849595374514,"314053.537112011"
"13","Run_4_13_Animal_3516",13,0.002248828488488,"37155.2780026991"
"14","Run_4_14_Animal_3516",14,0.00302012474935854,"63835.1671195652"
"15","Run_4_15_Animal_3516",15,0.00234420378496113,"56207.5954692557"
"16","Run_4_16_Animal_30816",16,0.00334667546517432,"251622.431478969"
"17","Run_4_17_Animal_30816",17,0.00364282212869065,"74096.447761194"
"18","Run_4_18_Animal_30816",18,0.00305026019310099,"11759.4427792916"
"19","Run_4_19_Animal_30816",19,0.00465608455533373,"8575.60436562074"
"20","Run_4_20_Animal_30816",20,0.00322598562363117,"3490.48840381992"
"21","Run_4_21_Animal_3216",21,0.00319308362633913,"210993.372469636"
"22","Run_4_22_Animal_3216",22,0.00236295236823301,"53273.4491180461"
"23","Run_4_23_Animal_3216",23,0.00257833106788913,"49816.5470668486"
"24","Run_4_24_Animal_3216",24,0.00376442660527365,"42907.1383989145"
"25","Run_5_02_Animal_3816",25,0.00344634100369784,"194852.435897436"
"26","Run_5_03_Animal_3816",26,0.0027657081504988,"120269.910081744"
"27","Run_5_04_Animal_3816",27,0.0040486689761515,"159438.245923913"
"28","Run_5_05_Animal_16314",28,0.00283465010483601,"42705.0498489426"
"29","Run_5_06_Animal_16314",29,0.00245581416973748,"78959.2784636488"
"30","Run_5_07_Animal_16314",30,0.00294384057360288,"158625.251023192"
"31","Run_5_08_Animal_20615",31,0.00348086205095518,"130021.723433242"
"32","Run_5_09_Animal_31316",32,0.00279424543693191,"101516.123978202"
"33","Run_5_10_Animal_31316",33,0.0022004038902464,"35577.5409356725"
"34","Run_5_11_Animal_20615",34,0.00278937032037235,"106286.145183175"
"35","Run_5_12_Animal_3516",35,0.00255991115866292,"2544.92352092352"
"36","Run_5_13_Animal_3516",36,0.00264251596580338,"32165.9649681529"
"37","Run_5_14_Animal_3616",37,0.00343035483998264,"80721.7404891304"
"38","Run_5_15_Animal_3616",38,0.002607587362819,"80603.2319236016"
"39","Run_5_16_Animal_3616",39,0.00270267691410263,"40007.5606276747"
"40","Run_5_17_Animal_3616",40,0.00315262866520171,"41137.002739726"
"41","Run_5_18_Animal_3316",41,0.00264044258621761,"45391.8833333333"
"42","Run_5_19_Animal_3316",42,0.00267208920049882,"40387.3206002729"
"43","Run_5_20_Animal_3316",43,0.00265133033203603,"42562.7861035422"
"44","Run_5_21_Animal_3816",44,0.00295814565702681,"29294.3785617368"
"45","Run_5_22_Animal_4016",45,0.00259097752592113,"32007.2837653479"
"46","Run_5_23_Animal_4016",46,0.0029309223125641,"33076.9145183175"
"47","Run_5_24_Animal_4016",47,0.00299823305761528,"28936.8897396631"
"48","Run_6_02_Animal_31316",48,0.00278005237411223,"71633.6485013624"
"49","Run_6_03_Animal_31316",49,0.0022905426506962,"88133.4100817439"
"50","Run_6_04_Animal_31316",50,0.00234922342028288,"5441.84782608696"
"51","Run_6_05_Animal_31316",51,0.00241349505423243,"7993.96891891892"
"52","Run_6_06_Animal_31316",52,0.00261525458599413,"37783.4043478261"
"53","Run_6_07_Animal_16314",53,0.00228189180425769,"5803.42739273927"
"54","Run_6_08_Animal_16314",54,0.00244928485174147,"6816.21262458472"
"55","Run_6_09_Animal_20615",55,0.00299223705781115,"14303.5128205128"
"56","Run_6_10_Animal_20615",56,0.00294938175670173,"69333.6692913386"
"57","Run_6_11_Animal_20615",57,0.00294252814199534,"16447.7693574959"
"58","Run_6_13_Animal_3516",58,0.00180519610737403,"4569.44711538462"
"59","Run_6_14_Animal_3516",59,0.00204683755429735,"3700.3023255814"
"60","Run_6_15_Animal_3116",60,0.0024719454298756,"90927.2673942701"
"61","Run_6_16_Animal_3116",61,0.00238957021522159,"65779.2643835616"
"62","Run_6_17_Animal_3116",62,0.00266870009857315,"4414.89351081531"
"63","Run_6_18_Animal_3116",63,0.00221790827896908,"1073.54485049834"
"64","Run_6_19_Animal_3116",64,0.0024275245956588,"14478.7170731707"
"65","Run_6_20_Animal_3116",65,0.00198457220330468,"1834.44224422442"
"66","Run_6_21_Animal_3216",66,0.00233717786752956,"11160.7023622047"
"67","Run_6_22_Animal_3216",67,0.00231907016185696,"16038.1661721068"
"68","Run_6_23_Animal_30816",68,0.00272891571302161,"1065.95840266223"
"69","Run_6_24_Animal_4016",69,0.00254816695234741,"33143.4939271255"
