"ID","mean","Week","Granuloma","Monkey_16314","Monkey_20615","Monkey_30816","Monkey_3116","Monkey_31316","Monkey_3216","Monkey_3316","Monkey_3516","Monkey_3616","Monkey_3816","Monkey_4016","Cohort_SIV only","Cohort_Mtb NR","Cohort_Mtb R","Tissue_Plasma","Tissue_Plasma_nex","Tissue_pLN","Tissue_tLN","Tissue_Lung"
"16314_3_Plasma",0.00209425700535215,3,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"16314_8_Plasma_nex",0.00201041610220384,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"16314_8_pLN",0.00183372334944315,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"16314_8_tLN",0.0020672220660933,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"16314_8_tLN",0.00228293631176807,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"20615_3_Plasma",0.0020650703930639,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"20615_6_Plasma_nex",0.00254588232700445,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"20615_6_pLN",0.00217695888073586,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"20615_6_tLN",0.00232126899130894,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"20615_6_tLN",0.00234810575699225,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"3516_3_Plasma",0.00183306818765283,3,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,0,0,0
"3516_8_Plasma_nex",0.00229272779122047,8,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
"3516_9_pLN",0.00224268967363105,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,1,0,0
"3516_9_tLN",0.00237173669284332,9,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
"3516_9_tLN",0.00232032313861697,9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,1,0
"30816_5_Plasma",0.0031195560689079,5,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"30816_8_Plasma_nex",0.00369311340656717,8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"30816_8_pLN",0.00304352699807405,8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"30816_8_tLN",0.00473824420327444,8,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"30816_8_tLN",0.00322058972354205,8,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"3216_3_Plasma",0.00257220988058328,3,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,1,0,0,0,0
"3216_8_Plasma_nex",0.00240711966780137,8,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,1,0,0,0
"3216_9_pLN",0.00228630161504974,9,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,1,0,0
"3216_9_tLN",0.00323572991458372,9,1,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
"3816_8_Plasma_nex",0.00243727301613182,8,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,1,0,0,0
"3816_8_pLN",0.0020562221879269,8,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,1,0,0
"3816_8_tLN",0.00276571041160013,8,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,1,0
"16314_8_Lung",0.00213186610036429,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"16314_8_Lung",0.00184611981859044,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"16314_8_Lung",0.00240642375231536,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"20615_6_Lung",0.00282080611303424,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"31316_8_Lung",0.00209557954533016,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"31316_8_Lung",0.00160153727737682,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"20615_6_Lung",0.00244521004187612,6,0,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"3516_9_Lung",0.00189072743989041,9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
"3516_9_Lung",0.0019437552698046,9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
"3616_2_Plasma",0.0022614694419566,2,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,1,0,0,0,0
"3616_7_Plasma_nex",0.00190768269549354,7,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,1,0,0,0
"3616_7_pLN",0.00201109061119575,7,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,1,0,0
"3616_7_tLN",0.00248995424071432,7,0,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0
"3316_7_Plasma_nex",0.0019459038650988,7,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0,0
"3316_7_pLN",0.00220572241050835,7,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,1,0,0
"3316_7_tLN",0.00200907585056526,7,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,1,0
"3816_8_Lung",0.00224077145045914,8,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,1
"4016_8_Plasma_nex",0.00189453852102122,8,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,1,0,0,0
"4016_8_tLN",0.00233215993949563,8,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,1,0
"4016_8_Lung",0.00232213865612071,8,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,1
"31316_5_Plasma",0.00191009067019904,5,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,1,0,0,0,0
"31316_8_Plasma_nex",0.00203229545778575,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
"31316_8_pLN",0.00206706515728616,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0
"31316_8_tLN",0.00201567267329767,8,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"31316_8_tLN",0.0022967096318477,8,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"16314_8_Lung",0.00201163406680488,8,1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"16314_8_tLN",0.0019998076013429,8,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0
"20615_6_Lung",0.00265018786774958,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"20615_6_Lung",0.0027435709202075,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"20615_6_Lung",0.00261147664132788,6,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1
"3516_9_Lung",0.00177734857943131,9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
"3516_9_Lung",0.00204609680312131,9,1,0,0,0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
"3116_3_Plasma",0.00200831758151457,3,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0,0
"3116_8_Plasma_nex",0.00199423967679469,8,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,1,0,0,0
"3116_8_pLN",0.00223254575137206,8,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0
"3116_8_tLN",0.00221790827896908,8,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"3116_8_Lung",0.00199991189883035,8,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,1
"3116_8_tLN",0.00198457220330468,8,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"3216_9_tLN",0.00197394934516065,9,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,1,0
"3216_9_Lung",0.00198898559195985,9,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,1
"30816_8_tLN",0.00272891571302161,8,1,0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0
"4016_8_pLN",0.00183535737389957,8,0,0,0,0,0,0,0,0,0,0,0,1,1,0,0,0,0,1,0,0
